Details,Credit
JIANGSU STEAMSHIP COMPANY       750000,750000
JIARONG MARINE (HK) CO LTD      150000,"$150,000.00"
JK International Pty Limited    800000,"$800,000.00"
Jose Montenegro Vila SL 300000,"$300,000.00"
JSC Polarnaya Ekspeditsia       300000,300000
JSC Yuzhmorryflot       300000,300000
Jumbo Shipping VoF      1000000,"$1,000,000.00"
Jungwon Maritime Pte Ltd        300000,"$300,000.00"
Jutlandia Terminal A/S  3000000,"$3,000,000.00"
Jxtg Nippon Oil Energy Corporation      32000000,"$32,000,000.00"
"K Express Co, Ltd       30000",30000
K Line Bulk Shipping (UK) Ltd   750000,750000
K Line Offshore As      3000000,"$3,000,000.00"
K Navigate Company Limited      40000,"$40,000.00"
KANEMATSU CORPORATION   500000,500000
Kassian Maritime Ltd    500000,"$500,000.00"
Kawasaki Kisen Kaisha Ltd (K Line)      10000000,"$10,000,000.00"
Keum Yang Shipping Co Ltd       150000,150000
"KEYSTONE SHIPPING CO,   750000",750000
Kim Heng Marine oilfield Pte Ltd        200000,"$200,000.00"
Klaveness Chartering AS 500000,"$500,000.00"
Klaveness Chartering AS 500000,"$500,000.00"
K-Line Pte Ltd  5000000,"$5,000,000.00"
KOCH FERTILIZER         1000000,1000000
Koch Shipping Pte Ltd   20000000,20000000
Kolkhorst Petroleum Company     150000,150000
"KONKAR SHIPPING AGENCIES S,     250000",250000
Kontsern Aspol-Baltik   250000,250000
Koppers Denmark Aps     400000,400000
"Korea Line Corp,        2000000","$2,000,000.00"
KOREA MARINE TRANSPORT CO       1500000,1500000
Korea Shipping Corporation      2300000,"$2,300,000.00"
Kristian Gerhard Jebsens        500000,"$500,000.00"
"Kunlun Trading Co, Limited      2800000","$2,800,000.00"
Kuwait Petroleum Corporation    2000000,"$2,000,000.00"
Kyklades Maritime Corporation   1000000,1000000
KYMA SHIP MANAGEMENT INC        500000,"$500,000.00"
Lahham Livestock Meat Trading Company   60000,60000
LALEMANT NV     400000,400000
LANGLOIS ENTERPRISES LTD        700000,"$700,000.00"
Langlois Enterprises Ltd        800000,"$800,000.00"
LANPAN PTE LTD  550000,"$550,000.00"
Larus SA        4000000,"$4,000,000.00"
"Lauritzen Bulkers A/S c/o  J, Lauritzen A/S     500000",500000
Lavinia Corporation     8000000,8000000
Lazer Energy Company    225000,"$225,000.00"
LD BULK 350000,"$350,000.00"
LEADING RESOURCES (HONG         2000000,2000000
Leidos Holdings Inc     2400000,2400000
"Lemar Shipping Inc,     300000",300000
Lemissoler Shipmanagement       800000,800000
"LEO OCEAN PTE, LTD,     2000000",2000000
"Leomax Maritime Pte, Ltd        500000","$500,000.00"
LH Shipping Pte Ltd     1000000,1000000
Liannex Corporation     350000,350000
Liberty Maritime Corporation    2500000,"$2,500,000.00"
Licvem Shiping & Trading Aps    1100000,"$1,100,000.00"
Lighthouse Navigation Pte Ltd   1500000,1500000
Livanos NG Maritime Company     200000,200000
LMCS Maritime Pvt Ltd   500000,500000
Londonderry Port & Harbour      15000,"$15,000.00"
Long Hung Trading and Service Co Ltd    800000,"$800,000.00"
"LONGSEA MARINE CO,, LIMITED     100000",100000
LONGSHIP        1500000,"$1,500,000.00"
Louis Dreyfus Company Freight   5000000,5000000
Louis Dreyfus Company Suisse SA 15000000,"$15,000,000.00"
Louis Dreyfus Company Suisse SA 2500000,"$2,500,000.00"
LSS Ocean Transport DMCC K/A    100000,"$100,000.00"
LUBREX FZC      150000,"$150,000.00"
Lyon Bunker Services SA 5000000,"$5,000,000.00"
Lyra Maritima Ltda      750000,"$750,000.00"
"M,R,C, DENIZCILIK TURIZM VE     200000",200000
M/Maritime Corp 1000000,"$1,000,000.00"
MACS MARITIME CARRIER   500000,500000
MAERSK DRILLING A/S     1000000,1000000
Maersk Drilling Services A/S    500000,"$500,000.00"
MAERSK LINE A/S 3000000,"$3,000,000.00"
MAERSK LINE     2000000,2000000
Maersk Oil Trading and  750000,"$750,000.00"
Maersk Oil Trading Singapore Ltd        700000,"$700,000.00"
Maersk Supply Service A/S       750000,750000
MAERSK SUPPLY SERVICE   500000,500000
Maersk Tankers A/S      5000000,"$5,000,000.00"
MAG Lube LLC a/k/a Mag  100000,"$100,000.00"
Mage PAO        750000,"$750,000.00"
"Magical Cruise Company, Limited 5000000","$5,000,000.00"
MAINPRIZE OFFSHORE LTD  250000,"$250,000.00"
Malik Supply A/S        500000,"$500,000.00"
Manta Denizcilik Nakliyat ve Ticaret Ltd        2000000,"$2,000,000.00"
Marblue Shipping Company SA     300000,300000
Marguisa Shipping Lines SLU     1000000,1000000
Marida Tankers Inc      1000000,"$1,000,000.00"
MARINE CRANE MC AB      75000,"$75,000.00"
MARINE SOLUTIONS MG AB  200000,"$200,000.00"
Marine Survey Contractors NV    300000,"$300,000.00"
Marine Trust Ltd        10000000,"$10,000,000.00"
Marineco Ltd    25000,"$25,000.00"
Marinekommando  500000,"$500,000.00"
MARINOIL SERVICE SA     500000,500000
Marlow Navigation Company       500000,500000
Marmaras Navigation Ltd 3000000,"$3,000,000.00"
Marnavi SpA     2000000,2000000
Martin Energy Services  50000,"$50,000.00"
MARUBENI GRAIN & OILSEEDS       2000000,2000000
Marubeni Petroleum Co Ltd       15000000,15000000
"MARUBENI PETROLEUM CO,,         4000000",4000000
MASSMARINER SA  500000,"$500,000.00"
"Maximus Marine Pte, Ltd,        300000","$300,000.00"
Mcc Transport Singapore Pte Ltd 6000000,"$6,000,000.00"
"MCDERMOTT AUSTRALIA PTY,        1000000","$1,000,000.00"
Meadway Shipping Trading Inc    5000000,"$5,000,000.00"
"Medcare Shipping S,A,   150000",150000
"Mediterranean Shipping Co, S,A, (MSC)   72000000",72000000
Medkon Hat Isletmeciligi        1000000,"$1,000,000.00"
Mena Energy DMCC        1000000,"$1,000,000.00"
Mercuria Energy Trading SA      6000000,"$6,000,000.00"
Meremar General Trading LLC     225000,225000
Meridian Ltd    750000,"$750,000.00"
Mermaid Subsea Services 170000,"$170,000.00"
METF BUNKER SERVICES SAL        50000,"$50,000.00"
Miclyn Offshore Middle East Africa FZE  200000,"$200,000.00"
Midcon Gathering LLC    250000,"$250,000.00"
"MINCHART GmbH & Co, KG  500000","$500,000.00"
MINMETALS SHIPPING      1000000,"$1,000,000.00"
Mintrans Limited        500000,"$500,000.00"
Misje Rederi AS 50000,"$50,000.00"
"Mitsui O,S,K, Lines Ltd 2000000","$2,000,000.00"
"Mitsui OSK Kinkai Ltd, aka Shosen       2000000",2000000
Mitsui OSK Lines Ltd    7000000,"$7,000,000.00"
Mlb Manfred Lauterjung  330000,"$330,000.00"
MMA OFFSHORE ASIA PTE LTD       150000,150000
MMA OFFSHORE ASIA VESSEL        200000,"$200,000.00"
MMT SWEDEN AB   150000,150000
MNG Maritime Ltd        540000,"$540,000.00"
Mohan Mutra Exports     200000,200000
MOHAR SHIPPING  300000,"$300,000.00"
MORADIÑA SL     1000000,1000000
Morfini SpA     500000,500000
MPI Offshore BV 1650000,"$1,650,000.00"
MRP Tanker OOO  200000,"$200,000.00"
"MS Charlie B Schifffahrts GmbH & Co, KG 100000","$100,000.00"
Msco Global Ltd 200000,"$200,000.00"
MULTIMAX SHIPPING PTE LTD       300000,300000
MUR Shipping BV 16000000,"$16,000,000.00"
MYKLEBUSTHAUG   640000,640000
"MYKONOS SHIPPING CO, LTD        800000","$800,000.00"
Nanjing Ocean Shipping Co Ltd   700000,700000
"Nanjing Sheng Hang Shipping Co,,        1000000","$1,000,000.00"
"NARVAL SHIPPING CORP,   250000",250000
NAT Chartering Limited  1000000,"$1,000,000.00"
Nathalin Company Limited        1800000,"$1,800,000.00"
NATIONAL GAS SHIPPING   3000000,3000000
"Naturgy Aprovisionamientos S,A, 500000","$500,000.00"
"Navalmar (UK) Ltd,      1500000","$1,500,000.00"
Navasota Oil Co Inc     150000,150000
Navesco SA      300000,"$300,000.00"
Navibulgar Shipping Ltd 4000000,"$4,000,000.00"
Naviera Chilena del Pacifico SA 100000,"$100,000.00"
Navigator Gas LLC       700000,700000
"NAVIGAZIONE MONTANARI S,P,      500000","$500,000.00"
Navina Maritime SA      2000000,"$2,000,000.00"
NAVISION SHIPPING A/S   300000,300000
Nbamr PAO       720000,720000
Nct Offshore AS 1000000,"$1,000,000.00"
Neptune Lines Shipping &        1000000,"$1,000,000.00"
Neu Seeschiffahrt GmbH  1100000,"$1,100,000.00"
NEU SEESCHIFFAHRT GMBH  500000,"$500,000.00"
New Sailing Shipping (HK) Limited       240000,240000
"New Sea Generation S,R,L,       300000",300000
New York State Marine Highway Transportation LLC        450000,"$450,000.00"
Nexans Norway AS        3000000,"$3,000,000.00"
Ngm Energy SA   6000000,6000000
Niels Hankiewicz Chartering GmbH        75000,"$75,000.00"
"Nile Dutch Africa Line B,V,     100000",100000
NIMR INternational LLC  150000,"$150,000.00"
Ningbo Donghai Shipping Co ltd  700000,"$700,000.00"
Ningbo Lionteam Shipping Co Ltd 250000,"$250,000.00"
"NIOVIS SHIPPING CO, S,A,        800000","$800,000.00"
NITTSU SHOJI CO LTD     500000,500000
NL TRANS OIL LIMITED    900000,"$900,000.00"
NORBROKER SHIPPING      500000,"$500,000.00"
Norbunker A/S   75000,75000
Norcem As       2000000,2000000
NORDEN SHIPPING         2500000,2500000
Nordic Bulk Carriers A/S        470000,"$470,000.00"
Nordic Chartering Ltd   300000,300000
Nordstar LLC    240000,"$240,000.00"
NORIENT PRODUCT POOL APS        3000000,"$3,000,000.00"
Normed Belgium BVBA     200000,200000
North Sea Giant AS      500000,"$500,000.00"
NORTH-WESTERN SHIPPING  250000,"$250,000.00"
Norvic Shipping International   2500000,2500000
NOVA CARRIERS (SINGAPORE)       1000000,1000000
Nova Marine Carriers Sa 1000000,"$1,000,000.00"
NOVA PETROLEUM (HK) LTD 200000,"$200,000.00"
NOVAALGOMA SHORT-SEA    750000,"$750,000.00"
NSG Nordic Shipping GmbH        100000,"$100,000.00"
Nutam Operations Pty Ltd        800000,"$800,000.00"
"NYK Bulkship (Korea) Co, Ltd,   1000000",1000000
NYK TRADING CORPORATION         300000,300000
Ocean 21 Holdings Pte Ltd       1500000,1500000
Ocean Base Shipping (Hong Kong) Limited 2000000,"$2,000,000.00"
"OCEAN CHALLENGER PTE, LTD,      500000","$500,000.00"
"Ocean Eleven Shipping Co,, Ltd  75000","$75,000.00"
Ocean Energy Limited    1500000,"$1,500,000.00"
Ocean Energy Ltd        1000000,"$1,000,000.00"
Ocean Horizon Shipping Limited  80000,"$80,000.00"
"Ocean Network Express Pte Ltd,  10000000","$10,000,000.00"
Ocean Oilfield Drilling FZC     144000,144000
Ocean7 Chartering Aps   300000,300000
"Oceana Shipping A,G,    500000","$500,000.00"
OCEANGOLD TANKERS INC   200000,200000
Oceanlance Maritime Co Ltd      200000,"$200,000.00"
Oceanways Shipping Limited      2850000,"$2,850,000.00"
"Odfjell Asia II Pte, ltd,       700000",700000
ODFJELL DRILLING AS     1000000,1000000
Odfjell Tankers AS      750000,"$750,000.00"
Odyssey Maritime Pte Ltd        600000,"$600,000.00"
Oil Expertise and Shipping SAM  150000,"$150,000.00"
Oilmar Shipping and Chartering DMCC     1000000,1000000
Olam International Ltd  4000000,"$4,000,000.00"
Oldendorff Carriers GmbH & Co KG        10000000,"$10,000,000.00"
Oldstone Holding Ltd    200000,"$200,000.00"
Oliuverslun Islands HF Iceland Oil      2500000,"$2,500,000.00"
Oman Charter Company SAOC       1000000,1000000
Oman Oil Marketing SAOG 150000,"$150,000.00"
"Oman Ship Management Company S,A,O,C    1000000","$1,000,000.00"
OMAN SHIP MANAGEMENT    1000000,"$1,000,000.00"
Oman Shipping Company   15000000,15000000
OMC SHIPPING    500000,"$500,000.00"
OMEGA BUNKER SNC Di     100000,100000
"OMEGRA SHIPPING PTE, LTD        1000000","$1,000,000.00"
One Ocean Expeditions inc       1200000,1200000
OOO Universal Baltic Company    350000,"$350,000.00"
OP SHIP AB      50000,"$50,000.00"
ORIENT EXPRESS LINES    1000000,"$1,000,000.00"
"Oriental Energy (Singapore) Int,        2500000","$2,500,000.00"
ORL Trading Ltd 2000000,"$2,000,000.00"
"OSG Ship Management, Inc,       500000",500000
OSR Rotterdam BV        500000,"$500,000.00"
OVERSEAS MARINE         300000,300000
"OXALIS SHIPPING CO, PTE, LTD,   100000",100000
"P & P SHIPPING CO, (HELLAS) S,  320000","$320,000.00"
"P,T, CHANDRA ASRI       800000",800000
P/F EFFO        1500000,"$1,500,000.00"
P/F Magn        8500000,"$8,500,000.00"
PACIFIC & ATLANTIC      50000,"$50,000.00"
Pacific Basin Chartering Limited        2500000,"$2,500,000.00"
Pacific Basin Shipping (Hk)Ltd  1000000,"$1,000,000.00"
Pacific Bulk Panamax Company limited    7500000,"$7,500,000.00"
Pacific Bulk Supramax Company limited   2100000,2100000
Pacific Inter-Link Sdn Bhd      450000,"$450,000.00"
Pacific International Lines (Pte) Ltd   15000000,15000000
"Pacific World Shipping Pte, Ltd,        500000","$500,000.00"
Paloma Shipping Corp    800000,"$800,000.00"
PAN OCEAN CO LTD        2500000,"$2,500,000.00"
Pancoast Trading (Singapore) Pte        500000,"$500,000.00"
Panoco Korea Co Ltd     2000000,2000000
Pantheon Tankers Management Ltd 6000000,"$6,000,000.00"
"Pasternak, Baum & Co,, Inc      500000","$500,000.00"
"PAVIMAR S,A,    200000","$200,000.00"
Penfield Tankers (Panamax) LLC  4000000,"$4,000,000.00"
Peng Hong Pte Ltd       400000,400000
PENG HONG PTE LTD       50000,50000
Peninsula Petroleum Limited     2000000,2000000
Perfect Bulk Limited    1000000,"$1,000,000.00"
Perosea Shipping Co SA  200000,"$200,000.00"
Pertanko Management SA  1000000,"$1,000,000.00"
PESQUERA AUGADOCE SL    130000,"$130,000.00"
Pesquera Barra SA       170000,170000
PESQUERA ECCE HOMO SL   130000,130000
PESQUERA RAYMI SL       100000,100000
Pesquera Raymi SL       100000,100000
PESQUERIAS CHAMO SL     250000,250000
PESQUERIAS GEORGIA SL   250000,250000
Peter Doehle Schiffahrts KG Gmbh & Co   7500000,7500000
PETER MADSEN REDERI A/S 210000,"$210,000.00"
PETRO OCEAN TRADING CO  400000,"$400,000.00"
PETRO SUMMIT PTE LTD    2500000,"$2,500,000.00"
PETROINEOS TRADING LIMITED      8000000,"$8,000,000.00"
Petrokimia Butadiene Indonesia PT       175000,175000
"Petroles Reiter Inc, AKA Reiter         300000",300000
PETRON CORPORATION      2000000,"$2,000,000.00"
"PETRONAS LNG LTD,       2000000",2000000
"Petro-Ocean Trading Co,Ltd      900000","$900,000.00"
Petros Shipmanagement SA        1000000,"$1,000,000.00"
Petrovietnam Transportation Corp        2900000,"$2,900,000.00"
PF EFFO         14500000,14500000
Pgs Geophysical As      1000000,"$1,000,000.00"
Phillips 66     7000000,7000000
PHUONG NAM INVESTMENT   100000,100000
Pine Marine Co  400000,"$400,000.00"
Pioneer Holdings Ltd    300000,"$300,000.00"
Pioneer Navigation Ltd (Bahamas)        1000000,"$1,000,000.00"
PIONEER NAVIGATION LTD C/O      600000,"$600,000.00"
"PISANO BUNKER S,R,L,    300000","$300,000.00"
PJSC North-Western Shipping     330000,330000
PLANTOURS & PARTNER GMBH        350000,"$350,000.00"
Platina Bulk Carriers Pts Ltd   700000,700000
"Plaza Marine, INC,      400000","$400,000.00"
"PLEIADES SHIPPING AGENTS S,     250000",250000
PLUTOFYLAX SHIPPING     250000,250000
"POE Shipping Pte, Ltd,  100000","$100,000.00"
Polar Explorer AS       800000,800000
"Polar Tankers, Inc,     2500000",2500000
"Polaris Shipping Co, Ltd,       500000",500000
Polaris Shipping Limited Inc    400000,"$400,000.00"
POLEMBROS SHIPPING LTD  1000000,"$1,000,000.00"
Polska zegluga Morska PP        3500000,"$3,500,000.00"
Pombo LDA       350000,350000
PORTLINE CONTAINERS     1000000,1000000
Posco Daewoo Corporation        2500000,"$2,500,000.00"
Posco International Corporation 2000000,"$2,000,000.00"
Precious Charm Limited  500000,"$500,000.00"
PRECIOUS SHIPPING PUBLIC CO     1000000,1000000
Primetransport Ltd      450000,"$450,000.00"
Product Shipping and Trading    500000,"$500,000.00"
Proman Shipping AG      500000,"$500,000.00"
Propel Shipping Pte Ltd 400000,"$400,000.00"
Prosafe Offshore Limited        1000000,"$1,000,000.00"
Prysmian Powerlink SRL  5000000,"$5,000,000.00"
PT Energy Transporter Indonesia 2000000,"$2,000,000.00"
PT Indofuels Limited    300000,"$300,000.00"
PT Meratus Line 500000,"$500,000.00"
PT Pertamina (Persero)  2000000,"$2,000,000.00"
PT Prayasa Indo Mitra Sarana    400000,"$400,000.00"
PT Salam Pacific Indonesia Lines        500000,"$500,000.00"
PT Tanto Intim Line     1000000,1000000
PT Waruna Nusa Sentana  250000,"$250,000.00"
"PT, CAHAYA PERDANA TRANS        250000","$250,000.00"
"PT, LUMOSO PRATAMA LINE 700000","$700,000.00"
"PT, SAMUDERA ENERGI     300000",300000
"PT, SOECHI LINES TBK    2000000","$2,000,000.00"
"PT, STYRINDO MONO       300000",300000
PTT Oil and Retail Business Public Company Limited      2000000,"$2,000,000.00"
"Public Joint Stock Company ""Murmansk Trawl Fleet""       200000",200000
Puma International Congo        90000,"$90,000.00"
Pyxis Maritime Corp     300000,300000
Qatar Navigation Company a/t/a  750000,"$750,000.00"
QatarGas Operating Co Ltd       15000000,15000000
"Qingdao Zhongtai Oceanic Fisheries Co, Ltd      280000","$280,000.00"
"Q-Shipping B,V, 500000","$500,000.00"
Quadra Commodities Sa   500000,500000
Quest Group DMCC        500000,"$500,000.00"
Radcliff Economy Marine Services        50000,"$50,000.00"
Raduga Shipping and Trading OU  100000,"$100,000.00"
Rafaelo 2002 Sha        150000,"$150,000.00"
"Raffles Bunkering Pte, Ltd,     900000",900000
RAIN CARBON BVBA        300000,"$300,000.00"
RAME Rubis Asphalt Middle East DMCC     500000,500000
RAUMA CATA OY   150000,150000
"RCL FEEDER PTE LTD,     1500000",1500000
Reachy International (HK) Co Ltd        300000,"$300,000.00"
Rebonave - Reboques e Assistencia Naval SA      100000,"$100,000.00"
Rederi AB Donsötank     150000,150000
Rederi AB Nathalie      15000,"$15,000.00"
Rederi AB Nordö-Link    500000,"$500,000.00"
"Reederei Lehmann GmbH & Co, KG  50000","$50,000.00"
"REEDEREI NORD HOLDING C,V,      600000","$600,000.00"
REGAL CAPE MARINE CC    100000,"$100,000.00"
RELIANCE BULK CARRIERS LLC      500000,"$500,000.00"
Reliance Industries Ltd 5000000,"$5,000,000.00"
Repsol Trading SA       2000000,2000000
"RESOLVE MARINE GROUP, INC,      550000","$550,000.00"
RHENUS MARITIME SERVICES        50000,"$50,000.00"
"Richland Bulk Pte, Ltd,         750000",750000
Ricochet Fuel Distributors      125000,"$125,000.00"
Riviera Marine Agent Doubleight         300000,300000
RIZHAO PORT (HONG KONG)         500000,500000
Rohde Nielsen A/S       8200000,8200000
Roswell Tankers Corp    250000,"$250,000.00"
"ROVA MARITIEM B,V,      250000","$250,000.00"
Rowan Companies Plc     15000000,15000000
Roxana Shipping SA      5000000,"$5,000,000.00"
ROYAL ARCTIC LINE A/S   2500000,2500000
Rtss Maritime Services LLC      150000,"$150,000.00"
RUDDER SAM      125000,"$125,000.00"
Rulexx Lubricants and Grease    300000,"$300,000.00"
RWE SUPPLY & TRADING GMBH       6000000,6000000
Rz Carrier      3500000,"$3,500,000.00"
S S Offshore Private Limited    150000,"$150,000.00"
"SAEHAN MARINE CO,, LTD, 1000000","$1,000,000.00"
"SAFE BULKERS INC,       1000000",1000000
Saga Subsea AS  500000,"$500,000.00"
Saga Welco AS   150000,150000
"Saipem (Portugal) Comercio Maritimo, Sociedade Unipessoal, Lda  5000000","$5,000,000.00"
Saipem Offshore Norway AS       4000000,4000000
Saipem SA       3000000,3000000
"Saipem(Portugal) Com, Maritimo  1000000","$1,000,000.00"
Sajo Industries Co Ltd  300000,"$300,000.00"
Sakhalin OAO SEA Shipping       200000,200000
Sal Heavy Lift GmbH     500000,500000
Samherji Hf     3000000,3000000
"Sammok Shipping Co, Ltd 1700000","$1,700,000.00"
Samos Steamship 6000000,"$6,000,000.00"
SAMOS STEAMSHIP COMPANY         1000000,1000000
SAMSKIP HF      3000000,"$3,000,000.00"
"SAMSKIP MULTIMODAL B,V, 1000000","$1,000,000.00"
Sapura Offshore Sdn Bhd 2800000,"$2,800,000.00"
SAUDI ARABIAN MINING    1000000,"$1,000,000.00"
SC Innovative Ukraine   250000,250000
ScanOcean AB    500000,"$500,000.00"
SCF Management Services         10000000,10000000
Schulte & Bruns Nederland BV    50000,"$50,000.00"
Schuyler Line Navigation        3000000,"$3,000,000.00"
SDK Chartering AS       50000,50000
SDTR MARINE PTE LTD     1750000,1750000
Sea Consortium Pte Ltd  12000000,"$12,000,000.00"
Sea Consortium Pte Ltd  3500000,"$3,500,000.00"
SEA GATE NAVIGATION LTD 200000,"$200,000.00"
SEA GLOBE MANAGEMENT AND        300000,"$300,000.00"
Sea Harvest Group Ltd   200000,200000
Sea Light Korea Corp    150000,"$150,000.00"
Sea Oil Public Company Limited  100000,"$100,000.00"
Sea Pioneer Limited     1300000,1300000
SEA TRADER INTERNATIONAL        500000,"$500,000.00"
Sea Traders SA  7000000,"$7,000,000.00"
Sea World Management Trading Inc        1050000,"$1,050,000.00"
Seabourn Cruise Line Limited    2000000,"$2,000,000.00"
"Seabulk Tankers, Inc    300000","$300,000.00"
Seacon Enterprise Pte Ltd       2000000,2000000
Seacon Shipping Co Ltd  800000,"$800,000.00"
Seacor holdings Inc     5000000,5000000
Seadrill Management     6000000,6000000
Seago Line A/S  1000000,"$1,000,000.00"
Sealink Shipping (Singapore) Pte Ltd    1500000,"$1,500,000.00"
SEAMAX MARINE INC       200000,200000
Seaocean Carriers Pte Ltd       500000,500000
Seapride Maritime SL    100000,"$100,000.00"
Seaside Navigation A/S  250000,"$250,000.00"
Seaspan Ship Management Ltd     600000,600000
Seatrans Solution Limited       300000,300000
Seawolf Tankers Inc     4000000,4000000
SeaWorld Management & Trading Inc       800000,800000
Seong Ho Shipping CO LTD        600000,"$600,000.00"
Shandong Blue Ocean Fishery Co Ltd      2800000,"$2,800,000.00"
Shanghai Haihua Shipping Co Ltd 500000,"$500,000.00"
SHANGHAI HONGFA SHIPPING        500000,"$500,000.00"
SHANGHAI RUN YUAN SHIPPING      500000,"$500,000.00"
Shanghai Sinochem-Stolt Shipping        300000,"$300,000.00"
Shanghai Time Shipping Co Ltd   270000,270000
Shanghai Zhenhua Shipping Co Ltd        450000,"$450,000.00"
Shearwater Geoservices AS       500000,500000
Shell International Trading and Shipping Company Ltd    35000000,"$35,000,000.00"
SHELL INTERNATIONAL     5000000,5000000
SHELL TANKERS (SINGAPORE)       6000000,6000000
Shell Trading (US) Company      2000000,"$2,000,000.00"
SHELL TRADING (US) COMPANY      2000000,"$2,000,000.00"
"Shell Trading Rotterdam B,V,    1000000","$1,000,000.00"
"Shell Western LNG B,V,  1000000","$1,000,000.00"
Shell   30000000,30000000
SHENZHEN ENERGY         1000000,1000000
SHENZHEN SHEKOU SHIPPING        300000,"$300,000.00"
"Shidao Group Co, Ltd    300000","$300,000.00"
"SHINE YEAR FISHING CO,, LTD,    275000","$275,000.00"
"SHL Offshore Contractors B,V,   2000000",2000000
Shreyas Shipping and Logistics  400000,"$400,000.00"
SHV Gas Supply & Risk   1000000,1000000
SIAM GAS TRADING PTE LTD        1000000,"$1,000,000.00"
"SIAM LUCKY MARINE CO,, LTD      1450000","$1,450,000.00"
SIBUR International GmbH        500000,"$500,000.00"
SIEM CAR CARRIERS AS    1000000,"$1,000,000.00"
Siem Industries Inc     5000000,5000000
Siem Offshore Rederi As 150000,"$150,000.00"
"Sigma Tankers Inc,      1200000","$1,200,000.00"
Signal Maritime Aframax Pool Ltd        500000,"$500,000.00"
SIGNAL MARITIME LTD     500000,500000
SILK ROAD SHIPPING AND  100000,"$100,000.00"
Silver Sea TC A/S       700000,700000
Simon Møkster Shipping AS       3000000,3000000
SIMOSA OIL CO LTD       300000,300000
Sims Group Global Trade Corp    270000,"$270,000.00"
Simtra International LLC        600000,"$600,000.00"
"Sinanen Co, Ltd,        400000","$400,000.00"
Singapore Shipping International (Private) Limited      400000,"$400,000.00"
Sino East Asia Pte Ltd  500000,"$500,000.00"
Sino East Transportation Limited        2500000,"$2,500,000.00"
Sinopec Fuel OIl (Singapore) Pte        500000,"$500,000.00"
Sinotrans Agencies (S) Pte Ltd  500000,"$500,000.00"
Sinotrans Canada Inc    1500000,"$1,500,000.00"
Sinotrans Container Lines Co Ltd        250000,"$250,000.00"
Sinotrans CSC Holdings Co Ltd   28000000,28000000
SIRIUS CHARTERING AB    150000,"$150,000.00"
SITC CONTAINER LINES    3000000,"$3,000,000.00"
SK B&T PTE LTD  2300000,"$2,300,000.00"
SK B&T PTE LTD  3750000,"$3,750,000.00"
SK Offshore Marine Sdn Bhd      40000,"$40,000.00"
Skeljungur HF   3000000,3000000
Skopelos Drillship      600000,"$600,000.00"
SM Line Corporation     4000000,4000000
Smart Energy Sweden Fuels AB    500000,"$500,000.00"
Smit Singapore Pte Ltd  700000,"$700,000.00"
SMT Cementships Investment Ltd  800000,"$800,000.00"
Socar Trading SA        8000000,"$8,000,000.00"
Socar Turkey Petrol Enerji Dagitim      1000000,"$1,000,000.00"
Societe d'Exploitation du Pioneering    5500000,"$5,500,000.00"
Sofidra SA      5000000,"$5,000,000.00"
"Sokana Shipping & Trading Ltd,  1000000","$1,000,000.00"
SOL GROUP MARKETING     300000,300000
"SOLAL SHIPPING S,A,     500000",500000
Solitaire Transport Chartering NV       750000,750000
Solvang ASA     1000000,1000000
Sonara  12500000,"$12,500,000.00"
Sonay Denizcilik Ltd Sti        300000,"$300,000.00"
Sonoco Partners Marketing &     2000000,2000000
South Kurdistan Company General Trading LLC     100000,100000
SOUTHERN PETROLEUM      500000,"$500,000.00"
Sovcomflot PAO  7500000,"$7,500,000.00"
"Spliethoff's Bevrachtingskantoor B,     2330000",2330000
SPRING MARINE MANAGEMENT        150000,"$150,000.00"
SSANGYONG CEMENT        600000,"$600,000.00"
SSH Maritime Management of Pleasure Yachts      50000,"$50,000.00"
"ST Logistics Pte, Ltd,  1000000","$1,000,000.00"
ST SHIPPING AND TRANSPORT       9500000,9500000
Stainless Tankers Inc c/o WOMAR Logistics Pte Ltd       2500000,2500000
STANDARD MARINE TØNSBERG        3000000,"$3,000,000.00"
Stanley Services Ltd Ssl        180000,"$180,000.00"
STAR BULK MANAGEMENT INC        1500000,"$1,500,000.00"
STAR CRUISES (HK) LTD   400000,400000
Star Tankers Inc Trust Company  1000000,"$1,000,000.00"
"STARBULK S,A,   1500000",1500000
STATE TRADING ORGANISATION      800000,"$800,000.00"
"STEALTH MARITIME CORP, S,A,     400000",400000
Stena Bulk A/S  1500000,"$1,500,000.00"
Stenersen Chartering AS 500000,"$500,000.00"
Stenoil KS      1000000,"$1,000,000.00"
Stenship KS     1000000,1000000
Stentank AS     500000,500000
Sterling Ocean Chemical Tankers III LLC 500000,"$500,000.00"
Sterling Ocean Shipping II LLC  500000,"$500,000.00"
Sterling Ocean Shipping III LLC 500000,"$500,000.00"
Stevin Rock LLC 500000,"$500,000.00"
Stiftelsen Christian Radich     50000,50000
Straits Bunkering Pte Ltd       250000,250000
Subsea 7 International Contracting Limited      700000,"$700,000.00"
SUBSEA 7 INTERNATIONAL  2000000,"$2,000,000.00"
Subsea 7 Singapore Contracting  800000,"$800,000.00"
Subsea7 ingapore Contracting Pte Ltd    700000,"$700,000.00"
SUCCESS BLOSSOM TRADING         1500000,1500000
Sucden Armateurs SAS    750000,"$750,000.00"
SUEK AG 600000,"$600,000.00"
SUNCOR ENERGY INC       2000000,2000000
Suncor Energy Products Partnership      2000000,"$2,000,000.00"
